Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,hour,age,distance,amount_band,risk_score,risk_level
42541,2020-07-06 03:48:48,584673555952,"fraud_Goyette, Howell and Collier",shopping_pos,2.33,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531,47.5196,-101.2332,307,Make,1930-08-13,60e9e3687b5e2e50bbfc2ff2e61bb0b5,1373082528,47.567576,-101.67949,0,3,96,0.44886129335910085,Low,40,Medium Risk
6297,2020-06-23 01:38:38,344342339068828,"fraud_Schmeler, Bashirian and Price",shopping_net,1.15,Ruth,Fuller,F,37732 Joe Courts Apt. 752,Darien,GA,31305,31.3826,-81.4312,5989,Tax adviser,1967-05-05,4b1532f8e6e8ee281bd8208d50dd89cc,1371951518,30.626603000000003,-81.761044,0,1,59,0.8248203006382614,Low,40,Medium Risk
44734,2020-07-06 17:00:42,4587657402165341815,"fraud_Schroeder, Hauck and Treutel",entertainment,125.48,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,bf87284136fb143ba746fff5115d7311,1373130042,40.493879,-86.962935,0,17,22,0.8491571615820009,Very High,40,Medium Risk
516334,2020-12-22 19:08:15,6540981358631302,fraud_Emmerich-Rau,personal_care,38.86,Bryan,Torres,M,152 James Centers Apt. 768,Detroit,MI,48221,42.426,-83.15,673342,Retail manager,1967-06-19,ee20594eb657d1b9ffd7b15022c28f09,1387739295,42.858795,-83.391812,0,19,59,0.49576663398114734,Medium,20,Low Risk
140999,2020-08-09 20:09:02,3504178999463051,fraud_Hammes-Beatty,kids_pets,28.9,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1992-07-23,f8640e318639a11e942eafaf0e560828,1376078942,39.916108,-83.160344,0,20,34,1.2637155447330755,Medium,20,Low Risk
396122,2020-11-23 17:27:31,348789608637806,fraud_Bauch-Blanda,entertainment,22.06,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,1950-08-19,0a0875c4bc9ffff6a5c828164de12f1c,1385227651,41.365463,-99.127918,0,17,76,1.0272235068829894,Medium,20,Low Risk
472488,2020-12-13 20:30:46,372520049757633,fraud_Dooley-Thompson,misc_net,99.81,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,2000-02-20,8f54b6963a2a5ead6a27cfdf97dee16c,1386966646,49.191868,-93.189079,0,20,26,0.5987038328464266,Very High,40,Medium Risk
1489,2020-06-21 20:49:13,378278619832195,fraud_Labadie LLC,personal_care,49.33,Mary,Mcintyre,F,77921 Costa Villages,Eugene,OR,97403,44.0385,-123.0614,191096,"Scientist, physiological",1964-04-06,de8bd07507ddd79798ae81d3aaa956e6,1371847753,44.578631,-122.834123,0,20,62,0.586000283182528,High,0,Low Risk
282216,2020-10-04 22:15:06,4599285557366057,"fraud_Schroeder, Hauck and Treutel",entertainment,70.85,Mary,Williams,F,00315 Ashley Valleys,Burrton,KS,67020,38.0261,-97.6666,1689,Gaffer,1997-11-18,dab919af18d4ad603cc32f73df04ec68,1380924906,38.494497,-98.01471,0,22,29,0.5835891720285742,High,30,Medium Risk
167940,2020-08-18 18:42:08,4933461930348832,fraud_Beier and Sons,home,112.61,Richard,Carter,M,5097 Martin Ridges,Minneapolis,MN,55403,44.9673,-93.2828,1022298,Chemical engineer,1976-09-29,0c2cf4ad4c96bc700063ff2e55c414fa,1376851328,45.068084000000006,-93.585677,0,18,50,0.31920509360755284,Very High,40,Medium Risk
117432,2020-08-01 17:35:55,4745996322265,"fraud_Medhurst, Cartwright and Ebert",personal_care,22.71,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,331daf8088d3eecb257b3044324b818f,1375378555,41.014505,-85.94219100000001,0,17,28,0.882573179802104,Medium,20,Low Risk
406410,2020-11-28 18:16:31,30266994494236,fraud_Maggio-Fahey,misc_pos,1.63,Sarah,Foster,F,77872 Andrea Glen Apt. 543,Ford,VA,23850,37.1349,-77.7364,1051,Chief Operating Officer,1976-11-21,9bc0a809a32c64fbdfec409a0044292b,1385662591,36.600727,-77.611628,0,18,50,0.5485515891080844,Low,10,Low Risk
220774,2020-09-07 19:38:16,6011693194885790,"fraud_Bernhard, Grant and Langworth",shopping_pos,6.85,Victoria,Fleming,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",1995-12-04,c2e3022b7409e6e66ab7d0021187643f,1378582696,45.455739,-92.845069,0,19,31,0.4510328707333934,Low,10,Low Risk
244172,2020-09-18 02:04:45,3546674063249004,fraud_Spinka-Welch,grocery_net,32.03,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,1984-07-05,1be7947c2be9852989d3786042255cbb,1379469885,33.027343,-98.421443,0,2,42,0.8804932038908654,Medium,50,Medium Risk
108700,2020-07-28 18:30:57,676275912597,"fraud_Bradtke, Torp and Bahringer",personal_care,77.38,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,1986-01-18,d6e3326a40044833faa5c967e4d62fc6,1375036257,44.22829,-85.79164200000001,0,18,40,0.7695433395618526,High,0,Low Risk
84623,2020-07-20 17:12:20,4005676619255478,fraud_Bins-Howell,personal_care,7.72,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,e01d2dd705e56feae2e48b410f98667d,1374340340,30.617624,-90.733257,0,17,32,0.23210451013498265,Low,10,Low Risk
336556,2020-10-27 23:38:17,213195754007681,fraud_Bins-Tillman,entertainment,4.96,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,1969-07-24,7fa3c239e233df9880f13c1ddb0469eb,1382917097,40.786746,-91.936393,0,23,57,0.4587649892537594,Low,40,Medium Risk
405001,2020-11-27 22:23:53,4996263498048679,"fraud_Turcotte, Batz and Buckridge",health_fitness,24.69,Kendra,King,F,154 Hernandez Keys,Smith River,CA,95567,41.9404,-124.1587,1930,Web designer,1983-06-13,88720cda27da2d38e37987747201dacd,1385591033,40.942685,-123.282005,0,22,43,1.3281676642088511,Medium,50,Medium Risk
528306,2020-12-26 05:02:59,4099707841315751,"fraud_Casper, Hand and Zulauf",grocery_pos,48.43,James,Stephens,M,1166 Castillo Mountains,Ruckersville,VA,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",1975-07-07,8f8dbf924d554786c14a8755f8b48bc7,1388034179,39.252526,-79.08833299999999,0,5,51,1.204806475731683,High,0,Low Risk
432704,2020-12-05 03:00:52,4900628639996,fraud_Bradtke PLC,grocery_pos,75.44,Michael,Johnson,M,094 Owens Underpass,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,1973-09-22,955b5f78fd6c9138cd74e790f1751800,1386212452,34.370354,-117.726133,0,3,53,0.5852309761154112,High,30,Medium Risk
199692,2020-08-30 18:41:16,4393520897625,"fraud_Schneider, Hayes and Nikolaus",food_dining,64.96,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,1982-05-20,04d8d918b5736b03e437d9fa43951104,1377888076,39.779323,-95.12735,0,18,44,0.4410779888285025,High,0,Low Risk
3739,2020-06-22 12:43:20,2254917871818484,fraud_Torp-Lemke,misc_pos,2.46,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,1976-03-26,ad6079be2ce4f3ed75bfe58f45248d1c,1371905000,38.026537,-75.678547,0,12,50,0.6715141566475062,Low,10,Low Risk
467502,2020-12-12 20:42:06,675909898057,fraud_Dare-Gibson,health_fitness,42.95,Christopher,Henry,M,1198 Robert Stravenue Apt. 479,Armonk,NY,10504,41.136,-73.7009,7987,Television/film/video producer,1964-03-16,df73734216495a950c004c14451d0bf2,1386880926,41.518616,-74.33925500000001,0,20,62,0.7442392824092292,Medium,20,Low Risk
260086,2020-09-25 02:27:31,4958589671582726883,fraud_Deckow-O'Conner,grocery_pos,108.37,Aaron,Pena,M,793 Hooper Tunnel Suite 154,Burke,VA,22015,38.7894,-77.2818,43102,Health visitor,1950-11-27,ea3b6f13d5ab4b6069025d532dc16fcc,1380076051,39.046476,-77.02315,0,2,76,0.364675050251591,Very High,70,High Risk
36130,2020-07-03 23:10:28,4745996322265,fraud_Abbott-Rogahn,entertainment,72.03,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,576f7b7510c8dbad611b6bd751233c98,1372893028,42.403702,-86.624576,0,23,28,0.9259527336640885,High,30,Medium Risk
189180,2020-08-26 06:21:22,630423337322,"fraud_Rodriguez, Yost and Jenkins",misc_net,412.1,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21,0e868cc95f13e95537b186b2fb121e46,1377498082,49.341753,-118.425181,0,6,48,0.5021566070161759,Very High,40,Medium Risk
210151,2020-09-03 02:28:54,180094419304907,fraud_Bradtke PLC,grocery_pos,193.64,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,9c76c2d874c09eef7743e2af01e3cb4b,1378175334,33.258807,-117.02768,0,2,54,0.5088189421090755,Very High,70,High Risk
453062,2020-12-08 20:31:46,4745996322265,fraud_Fadel-Hilpert,health_fitness,108.21,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,67a0987fb959b3694ff7412d2d72169f,1386534706,40.78658,-86.382602,0,20,28,0.75945635635236,Very High,40,Medium Risk
30342,2020-07-01 04:48:25,4220345354880,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,135.4,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371,42.8223,-83.2829,24840,Agricultural consultant,1960-01-20,ea98b8d81a965939dd77acb35613e883,1372654105,42.415806,-83.628676,0,4,66,0.5336650768150343,Very High,40,Medium Risk
507379,2020-12-21 10:06:33,213148039875802,fraud_Zemlak Group,misc_net,19.85,Jill,Jacobs,F,034 Kimberly Mountains,Brandon,FL,33510,27.9551,-82.2966,79613,Environmental consultant,1978-11-30,ead725202ea0c4b2766020fb11bb9614,1387620393,28.652412,-81.927176,0,10,48,0.7891249059052671,Medium,20,Low Risk
6432,2020-06-23 02:41:35,4220345354880,fraud_Cruickshank-Mills,entertainment,4.0,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371,42.8223,-83.2829,24840,Agricultural consultant,1960-01-20,454b43accc139a00e78fca112be69121,1371955295,43.729763,-83.562443,0,2,66,0.9495437774099739,Low,40,Medium Risk
189262,2020-08-26 07:35:31,213148039875802,fraud_Schamberger-O'Keefe,grocery_pos,186.72,Jill,Jacobs,F,034 Kimberly Mountains,Brandon,FL,33510,27.9551,-82.2966,79613,Environmental consultant,1978-11-30,475add25b62b03f05d5603a89f92a984,1377502531,28.893653000000004,-82.769373,0,7,48,1.0509024899285413,Very High,40,Medium Risk
37096,2020-07-04 11:00:26,4311368326621416041,"fraud_Schaefer, McGlynn and Bosco",gas_transport,66.79,Phillip,Delacruz,M,26678 Lisa Locks Apt. 904,Iliff,CO,80736,40.7692,-103.0968,648,Community arts worker,1969-09-21,d65d55135460061e8a000bc97f162a00,1372935626,40.281701,-103.629156,0,11,57,0.7218436019921436,High,0,Low Risk
201462,2020-08-31 06:36:15,6011504998544485,fraud_Doyle Ltd,grocery_pos,66.89,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,1971-11-02,21ef785dfbf0e8f029e5f66dacc5cac8,1377930975,31.919943,-86.15123,0,6,55,0.8874899851541986,High,0,Low Risk
319677,2020-10-20 17:53:27,5596347693144598,"fraud_Berge, Kautzer and Harris",personal_care,57.29,Joseph,Moody,M,5901 Foster Pine,Kenner,LA,70062,29.9912,-90.2479,68211,"Engineer, petroleum",1941-04-23,76d0e1b768e810ee068bf0e5887beb07,1382291607,29.381908000000003,-91.197215,0,17,85,1.1280229210831636,High,0,Low Risk
59684,2020-07-12 07:59:51,6011552879910390,fraud_Bednar Group,misc_net,104.08,Robert,Long,M,529 Joshua Knoll Apt. 511,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),1981-07-05,b20c1b49dbdbaf4a50f4dfbcb43627d7,1373615991,40.108068,-110.845969,0,7,45,1.169273707471856,Very High,40,Medium Risk
28808,2020-06-30 17:44:33,180084695172649,"fraud_Quitzon, Green and Bashirian",shopping_pos,7.71,Holly,Mann,F,7644 Joseph Fields,Nokomis,IL,62075,39.3036,-89.2853,3458,Building surveyor,1985-12-08,9be81e9c915ad6fcb9829bae0b6c54c6,1372614273,39.896982,-88.336682,0,17,41,1.1189183651402,Low,10,Low Risk
38271,2020-07-04 21:25:22,3525590521269779,fraud_Kihn-Fritsch,food_dining,13.09,Scott,Fuller,M,861 Karen Common,Haw River,NC,27258,36.0424,-79.3242,6006,Paramedic,1984-07-20,4e33a54ebc1fa0b6ed0ccb35f5bcc5ad,1372973122,35.968358,-78.701144,0,21,42,0.6274400345052956,Medium,20,Low Risk
221423,2020-09-07 23:29:13,4646845581490336108,fraud_Friesen-Ortiz,personal_care,42.21,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25,332e824a73afd2f11f5c206c14e4b23f,1378596553,40.397463,-73.126326,0,23,36,0.3355712482394743,Medium,50,Medium Risk
84256,2020-07-20 15:28:23,2264937662466770,fraud_Rolfson-Kunde,personal_care,55.19,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,1995-10-17,3323a960f214b61bbbc92000d4b182a7,1374334103,29.053347,-98.0193,0,15,31,0.566030950575146,High,0,Low Risk
194800,2020-08-28 22:43:26,3565423334076143,"fraud_Walter, Hettinger and Kessler",personal_care,13.29,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,1938-03-15,2df3bd6f2a2977c8d1a243d16599578c,1377729806,39.434433,-87.63116600000001,0,22,88,0.5289878172935589,Medium,50,Medium Risk
343222,2020-10-31 20:21:02,4169388510116,fraud_Satterfield-Lowe,travel,8.9,Marcia,Molina,F,6744 Jimmy Extensions,Port Gibson,NY,14537,43.033,-77.1575,207,Database administrator,1962-09-27,23f2f05c76e35051cfe66126801f924c,1383250862,42.256086,-77.407368,0,20,64,0.8161062313326617,Low,10,Low Risk
487038,2020-12-16 11:34:19,3566875419572867,fraud_Turcotte-Halvorson,misc_pos,24.72,Adam,Mcdonald,M,997 Cameron Meadow Apt. 980,South Hero,VT,5486,44.64,-73.3113,1654,Transport planner,1991-01-31,26b02916f4d883c17ca76ba0c369371f,1387193659,45.17674,-74.136687,0,11,35,0.9845575287249541,Medium,20,Low Risk
240015,2020-09-15 18:15:27,4792627764422477317,fraud_Schulist Ltd,food_dining,42.59,Margaret,Mendez,F,7952 Karen Pike,De Soto,KS,66018,38.9462,-94.9714,5760,Chief Executive Officer,1978-10-01,e1d6948dee253ab2eeb81cc731564886,1379268927,38.406344,-94.048326,0,18,48,1.0693503215560372,Medium,20,Low Risk
335649,2020-10-27 17:39:21,4651007077623147,fraud_Cartwright PLC,kids_pets,7.01,Andrea,Lewis,F,43075 Cohen Shoals,Ashford,WA,98304,46.7531,-121.9898,759,Video editor,1956-09-14,b9160844c8f98ae33549e89415d3c251,1382895561,47.292166,-122.886602,0,17,70,1.0463488804218157,Low,10,Low Risk
451108,2020-12-08 14:17:29,38014427445058,fraud_Shanahan-Lehner,personal_care,102.23,Sonya,Jensen,F,4470 Jillian Courts,Adams,WI,53910,43.8967,-89.8219,3508,Sport and exercise psychologist,1946-08-11,0f57e3be50af36d59b931d6bf6eb1e0e,1386512249,43.17666,-89.876927,0,14,80,0.7221395795336286,Very High,40,Medium Risk
495235,2020-12-18 19:07:15,4451438912406400,fraud_Goldner-Lemke,entertainment,100.24,Cheryl,Morgan,F,7535 Amanda Manors Suite 293,Norman,AR,71960,34.4596,-93.6743,1383,Manufacturing engineer,1999-09-11,6b3d624e30a5b429a70f5731795967e2,1387393635,34.766437,-93.701433,0,19,27,0.3080343231816879,Very High,40,Medium Risk
211328,2020-09-03 19:04:22,4512828414983801773,fraud_Leannon-Ward,food_dining,14.39,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,6021917888d4c503f3b980b37d6504a4,1378235062,39.28401,-80.665988,0,19,43,1.0708328528038304,Medium,20,Low Risk
66203,2020-07-14 00:23:32,676148621961,"fraud_Raynor, Reinger and Hagenes",gas_transport,77.56,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,1962-11-18,d7c578eb667a1c5d6d7d7c58276b3a3d,1373761412,38.318249,-90.702059,0,0,64,1.2123545645074354,High,30,Medium Risk
268973,2020-09-28 19:57:07,4464457352619,fraud_Morissette-Schaefer,personal_care,18.81,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,1990-01-24,9ecf5e017b3f4123d7924337fbd37b83,1380398227,30.542052,-85.47246700000001,0,19,36,1.0965264833979218,Medium,20,Low Risk
409839,2020-11-30 00:51:49,2242542703101233,"fraud_Connelly, Reichert and Fritsch",gas_transport,57.31,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,1996-04-10,e57120665974261805a11595c37eed4c,1385772709,39.209485,-84.7709,0,0,30,0.9894864770298784,High,30,Medium Risk
2282,2020-06-22 02:05:49,3595192916105588,fraud_O'Keefe-Hudson,grocery_pos,65.67,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,4ef50996c58ae64057c531c5d3b468f6,1371866749,35.568414000000004,-78.69229200000001,0,2,33,0.5999065212680997,High,30,Medium Risk
522868,2020-12-24 16:50:34,3502088871723054,fraud_Schoen-Quigley,kids_pets,26.36,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,fcc5505a76b30edbf4293c25388a79b9,1387903834,38.161962,-76.941128,0,16,50,0.8787686247403224,Medium,20,Low Risk
551676,2020-12-30 19:49:12,180046765320457,fraud_Pollich LLC,home,73.01,Jared,Camacho,M,4257 Perez Mall,Canton,OH,44702,40.8027,-81.3739,192805,Building control surveyor,1963-06-30,e8b40d0a6cde7cd2b494e65224bb387f,1388432952,40.708698,-82.226037,0,19,63,0.8573061546338034,High,0,Low Risk
179445,2020-08-23 14:54:12,374930071163758,fraud_Gerhold LLC,home,42.21,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1971-11-05,19b181f575330c6a287cafb15035e19b,1377269652,41.599646,-82.561284,0,14,55,1.0101712191366379,Medium,20,Low Risk
314465,2020-10-19 00:46:55,2297447006766555,fraud_Harris Inc,gas_transport,50.98,Laura,Walker,F,611 Michael Rue,Cisco,IL,61830,39.9972,-88.6962,478,Landscape architect,1960-01-13,689e2e43370b82554d8340f5539e1941,1382143615,40.983238,-89.325523,0,0,66,1.169751416230389,High,30,Medium Risk
200292,2020-08-30 22:22:37,213191402330021,fraud_Hickle Group,shopping_pos,5.08,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,53228,42.9676,-88.0434,817312,"Accountant, chartered public finance",2004-03-18,bf80eb412075df6b3b6512e338c1468f,1377901357,43.777825,-88.560974,0,22,22,0.9614298706099162,Low,40,Medium Risk
222165,2020-09-08 06:13:46,30376238035123,fraud_Medhurst PLC,shopping_net,289.7,Cynthia,Davis,F,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1928-10-01,1ecf4cc9b261ae0625eefddf824bff98,1378620826,41.865079,-125.062299,0,6,98,1.1434968488990245,Very High,40,Medium Risk
228298,2020-09-11 06:56:51,3541160328600277,fraud_Heller-Langosh,gas_transport,76.46,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,2003-05-07,4d54f9e4f421e409de7daf4f1efbbe6d,1378882611,39.433097,-90.735874,0,6,23,0.5170643865951317,High,0,Low Risk
452074,2020-12-08 17:21:12,180069253480336,fraud_Gaylord-Powlowski,home,16.84,William,Hunter,M,5036 Victoria Ports Suite 249,Emporium,PA,15834,41.5177,-78.2536,4533,Public affairs consultant,1969-11-01,e7420b4ba38b43dd883ffb5a5ddad039,1386523272,42.215566,-78.969583,0,17,57,0.9998242896854419,Medium,20,Low Risk
187901,2020-08-25 19:25:23,36581538659449,"fraud_Hermiston, Pacocha and Smith",health_fitness,96.12,Brandon,Bridges,M,957 Miller Falls,Apison,TN,37302,35.0149,-85.0164,3730,Occupational therapist,1991-01-28,e2bb412b6125c7ba231ab806117ec9e7,1377458723,34.569452000000005,-84.34046500000001,0,19,35,0.8095134618577918,Very High,40,Medium Risk
186903,2020-08-25 14:18:28,36581538659449,fraud_Jacobi and Sons,shopping_pos,4.93,Brandon,Bridges,M,957 Miller Falls,Apison,TN,37302,35.0149,-85.0164,3730,Occupational therapist,1991-01-28,66323b2d88f83b85f5983c28c93f0ba8,1377440308,34.915084,-85.92454000000001,0,14,35,0.9136090484753339,Low,10,Low Risk
59686,2020-07-12 08:01:27,3545109339866548,"fraud_Robel, Cummerata and Prosacco",gas_transport,44.57,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,1999-03-05,6e6b564ca1ac93e36c6b4c354e203373,1373616087,34.025627,-91.154397,0,8,27,0.8422701726512721,Medium,20,Low Risk
460017,2020-12-10 20:36:41,376656886990758,"fraud_Cronin, Kshlerin and Weber",health_fitness,22.2,Richard,Vance,M,169 Shelia Knoll Suite 753,Zavalla,TX,75980,31.1569,-94.3871,2836,"Designer, jewellery",1985-12-03,8af09197afaa667347c5b3969dada36d,1386707801,31.790504,-93.854655,0,20,41,0.8276180923838049,Medium,20,Low Risk
231352,2020-09-12 20:03:03,4063094974360571498,"fraud_Turcotte, McKenzie and Koss",entertainment,5.16,Patricia,Mendoza,F,1683 Davidson Freeway,Mendon,UT,84325,41.71,-111.9817,2078,"Scientist, audiological",1963-06-13,c6c8679e79054f311fc3a63e5d9c8a11,1379016183,42.588096,-111.610234,0,20,63,0.953435668711842,Low,10,Low Risk
13333,2020-06-25 18:03:17,630425673344,fraud_Greenholt Ltd,health_fitness,9.07,Bryan,Miller,M,411 Laurie Fords,Cass,WV,24927,38.388000000000005,-79.9906,365,Special effects artist,1970-03-14,f4982880b7b556933541442e22a6189a,1372183397,37.521065,-80.54180600000001,0,18,56,1.0273287442007146,Low,10,Low Risk
355270,2020-11-05 19:05:42,3519232971341141,"fraud_Ritchie, Bradtke and Stiedemann",travel,8.35,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,1961-09-10,30ee33222cc4251f34537e5549980bab,1383678342,41.250565,-80.53806999999999,0,19,65,0.8843864354031006,Low,10,Low Risk
